Part1,
0-Easy,
    Mission length=4,
1,25
2,37
3,23
4,35
5,47
    Mission length=6,
1,28
2,60
3,41
4,55
5,66
    Mission length=8,
1,63
2,60
3,67
4,59
5,88
    Mission length=10,
1,71
2,95
3,55
4,80
5,102
    Mission length=12,
1,78
2,86
3,91
4,75
5,146
    Mission length=14,
1,98
2,94
3,85
4,79
5,171
Part2,
0-Easy,
    Mission length=4,
1,23
2,25
3,32
4,34
5,31
    Mission length=6,
1,31
2,32
3,63
4,55
5,37
    Mission length=8,
1,37
2,49
3,99
4,74
5,72
    Mission length=10,
1,86
2,39
3,107
4,61
5,59
    Mission length=12,
1,85
2,56
3,139
4,89
5,108
    Mission length=14,
1,125
2,81
3,157
4,115
5,96
1-Medium,
    Mission length=4,
1,37
2,28
3,40
4,19
5,46
    Mission length=6,
1,38
2,30
3,71
4,28
5,54
    Mission length=8,
1,54
2,55
3,87
4,44
5,63
    Mission length=10,
1,79
2,58
3,100
4,47
5,112
    Mission length=12,
1,72
2,99
3,126
4,50
5,100
    Mission length=14,
1,118
2,94
3,144
4,68
5,118
2-Hard,
    Mission length=4,
1,40
2,16
3,33
4,35
5,35
    Mission length=6,
1,41
2,34
3,43
4,107
5,58
    Mission length=8,
1,79
2,72
3,78
4,103
5,66
    Mission length=10,
1,89
2,93
3,98
4,74
5,119
    Mission length=12,
1,140
2,126
3,142
4,155
5,125
    Mission length=14,
1,125
2,128
3,154
4,81
5,154
Part3,
0-Easy,
    Mission length=4,
1,31
2,18
3,34
4,22
5,38
    Mission length=6,
1,36
2,46
3,51
4,35
5,56
    Mission length=8,
1,63
2,54
3,68
4,50
5,78
    Mission length=10,
1,93
2,81
3,82
4,60
5,104
    Mission length=12,
1,100
2,108
3,102
4,73
5,130
    Mission length=14,
1,107
2,118
3,128
4,90
5,159
1-Medium,
    Mission length=4,
1,42
2,27
3,37
4,51
5,45
    Mission length=6,
1,76
2,62
3,45
4,81
5,58
    Mission length=8,
1,87
2,82
3,58
4,107
5,100
    Mission length=10,
1,138
2,84
3,100
4,106
5,105
    Mission length=12,
1,151
2,118
3,92
4,143
5,132
    Mission length=14,
1,170
2,140
3,123
4,193
5,189
2-Hard,
    Mission length=4,
1,32
2,48
3,42
4,30
5,34
    Mission length=6,
1,60
2,71
3,63
4,53
5,71
    Mission length=8,
1,87
2,80
3,85
4,62
5,74
    Mission length=10,
1,95
2,104
3,103
4,92
5,81
    Mission length=12,
1,87
2,117
3,125
4,88
5,113
    Mission length=14,
1,116
2,110
3,146
4,110
5,111
Part4,
0-Easy,
    Mission length=8,
1,86
2,94
3,51
4,81
5,54
    Mission length=10,
1,98
2,96
3,67
4,101
5,68
    Mission length=12,
1,103
2,150
3,95
4,124
5,106
    Mission length=14,
1,116
2,171
3,109
4,130
5,76
    Mission length=16,
1,149
2,149
3,129
4,163
5,139
    Mission length=18,
1,151
2,149
3,146
4,143
5,138
1-Medium,
    Mission length=8,
1,49
2,86
3,50
4,78
5,53
    Mission length=10,
1,95
2,82
3,107
4,92
5,84
    Mission length=12,
1,75
2,127
3,85
4,118
5,100
    Mission length=14,
1,121
2,160
3,157
4,147
5,123
    Mission length=16,
1,143
2,130
3,133
4,129
5,140
    Mission length=18,
1,125
2,152
3,134
4,153
5,149
2-Hard,
    Mission length=8,
1,54
2,60
3,126
4,59
5,118
    Mission length=10,
1,136
2,117
3,158
4,101
5,160
    Mission length=12,
1,103
2,135
3,160
4,109
5,115
    Mission length=14,
1,170
2,117
3,189
4,149
5,161
    Mission length=16,
1,155
2,189
3,249
4,136
5,193
    Mission length=18,
1,183
2,164
3,287
4,151
5,197
